iter	Passed	Remaining
0	143	143855
1	148	74079
2	152	50654
3	156	39035
4	160	32032
5	164	27264
6	168	23860
7	172	21338
8	175	19358
9	180	17832
10	185	16652
11	189	15630
12	194	14788
13	200	14102
14	204	13431
15	209	12865
16	213	12367
17	218	11918
18	224	11565
19	227	11160
20	231	10799
21	236	10521
22	241	10273
23	245	9986
24	251	9815
25	256	9610
26	261	9426
27	267	9296
28	272	9138
29	276	8951
30	280	8782
31	284	8618
32	289	8475
33	293	8335
34	297	8214
35	302	8104
36	306	7988
37	310	7866
38	314	7748
39	321	7707
40	325	7623
41	330	7544
42	334	7454
43	338	7360
44	342	7275
45	347	7197
46	353	7170
47	372	7397
48	380	7383
49	389	7400
50	400	7455
51	407	7431
52	418	7486
53	425	7449
54	436	7505
55	445	7512
56	454	7519
57	464	7547
58	478	7626
59	484	7597
60	490	7557
61	504	7636
62	516	7676
63	523	7656
64	528	7606
65	532	7537
66	536	7471
67	541	7415
68	545	7356
69	548	7293
70	552	7225
71	556	7168
72	559	7107
73	569	7129
74	576	7115
75	584	7103
76	589	7070
77	596	7049
78	602	7021
79	607	6991
80	613	6955
81	618	6918
82	623	6883
83	628	6854
84	634	6828
85	639	6797
86	647	6791
87	653	6776
88	658	6743
89	663	6707
90	668	6675
91	672	6636
92	676	6599
93	681	6565
94	686	6540
95	690	6503
96	695	6469
97	699	6434
98	702	6396
99	706	6362
100	711	6336
101	717	6317
102	721	6281
103	725	6247
104	729	6217
105	733	6185
106	737	6157
107	742	6129
108	746	6100
109	749	6067
110	753	6034
111	757	6007
112	761	5979
113	766	5955
114	771	5938
115	776	5918
116	780	5890
117	784	5863
118	789	5843
119	795	5832
120	800	5812
121	804	5791
122	808	5763
123	811	5734
124	816	5717
125	821	5699
126	827	5687
127	831	5664
128	836	5649
129	840	5624
130	845	5606
131	851	5597
132	856	5583
133	861	5566
134	865	5544
135	869	5521
136	873	5500
137	877	5481
138	882	5467
139	887	5453
140	891	5433
141	897	5420
142	901	5401
143	905	5385
144	910	5371
145	915	5352
146	919	5334
147	924	5319
148	928	5300
149	933	5289
150	938	5275
151	942	5256
152	946	5241
153	951	5228
154	957	5222
155	965	5223
156	970	5210
157	975	5196
158	979	5179
159	983	5162
160	988	5151
161	996	5153
162	1001	5142
163	1006	5129
164	1009	5110
165	1014	5094
166	1019	5084
167	1024	5072
168	1029	5061
169	1035	5054
170	1039	5040
171	1046	5035
172	1051	5025
173	1055	5011
174	1060	5001
175	1066	4991
176	1070	4975
177	1075	4967
178	1080	4954
179	1084	4940
180	1089	4928
181	1093	4914
182	1098	4904
183	1102	4889
184	1107	4879
185	1111	4864
186	1116	4853
187	1120	4840
188	1124	4825
189	1128	4810
190	1132	4794
191	1137	4785
192	1141	4772
193	1145	4759
194	1151	4755
195	1158	4752
196	1162	4740
197	1169	4737
198	1173	4725
199	1178	4713
200	1183	4703
201	1187	4689
202	1190	4675
203	1195	4664
204	1201	4658
205	1203	4639
206	1209	4631
207	1214	4626
208	1219	4616
209	1227	4619
210	1233	4611
211	1238	4602
212	1243	4594
213	1247	4582
214	1251	4568
215	1255	4555
216	1259	4544
217	1262	4529
218	1266	4515
219	1269	4502
220	1273	4490
221	1278	4481
222	1282	4469
223	1286	4456
224	1291	4448
225	1295	4436
226	1300	4427
227	1304	4417
228	1309	4407
229	1313	4397
230	1317	4386
231	1321	4373
232	1324	4361
233	1329	4351
234	1334	4343
235	1338	4334
236	1342	4322
237	1347	4314
238	1351	4303
239	1355	4291
240	1359	4282
241	1364	4272
242	1367	4260
243	1380	4276
244	1389	4282
245	1396	4280
246	1408	4294
247	1420	4307
248	1428	4308
249	1437	4313
250	1444	4309
251	1454	4316
252	1460	4313
253	1470	4318
254	1478	4319
255	1488	4325
256	1495	4322
257	1503	4323
258	1511	4325
259	1520	4328
260	1530	4333
261	1535	4324
262	1539	4312
263	1544	4304
264	1547	4292
265	1551	4281
266	1555	4270
267	1560	4262
268	1564	4250
269	1568	4239
270	1573	4232
271	1578	4224
272	1582	4214
273	1587	4207
274	1596	4209
275	1602	4204
276	1613	4210
277	1625	4221
278	1632	4218
279	1639	4214
280	1643	4205
281	1649	4198
282	1654	4191
283	1660	4185
284	1665	4177
285	1670	4170
286	1675	4161
287	1680	4155
288	1686	4148
289	1690	4138
290	1695	4130
291	1698	4119
292	1702	4107
293	1707	4100
294	1712	4092
295	1717	4084
296	1722	4077
297	1728	4072
298	1732	4062
299	1738	4055
300	1743	4048
301	1749	4042
302	1754	4034
303	1757	4024
304	1762	4015
305	1766	4006
306	1772	4000
307	1776	3992
308	1781	3983
309	1785	3974
310	1790	3965
311	1795	3959
312	1803	3958
313	1813	3962
314	1818	3954
315	1823	3947
316	1839	3963
317	1844	3956
318	1850	3950
319	1855	3942
320	1861	3938
321	1867	3932
322	1874	3928
323	1878	3919
324	1883	3912
325	1887	3902
326	1892	3895
327	1899	3892
328	1904	3883
329	1908	3874
330	1912	3865
331	1916	3856
332	1921	3849
333	1926	3840
334	1930	3832
335	1934	3823
336	1953	3843
337	1957	3833
338	1961	3823
339	1965	3815
340	1970	3807
341	1974	3798
342	1978	3789
343	1983	3781
344	1986	3772
345	1990	3762
346	1995	3754
347	2000	3748
348	2007	3744
349	2014	3741
350	2019	3734
351	2023	3725
352	2027	3716
353	2033	3710
354	2037	3701
355	2042	3695
356	2047	3687
357	2052	3681
358	2057	3673
359	2061	3665
360	2066	3658
361	2071	3650
362	2076	3643
363	2081	3636
364	2085	3628
365	2090	3621
366	2101	3625
367	2106	3616
368	2109	3608
369	2115	3601
370	2119	3594
371	2124	3585
372	2129	3579
373	2133	3571
374	2137	3562
375	2140	3552
376	2145	3546
