iter	Passed	Remaining
0	15	1547
1	34	1710
2	50	1628
3	64	1555
4	82	1574
5	98	1542
6	113	1508
7	128	1474
8	142	1445
9	161	1456
10	179	1453
11	197	1448
12	214	1432
13	233	1437
14	251	1423
15	268	1411
16	287	1403
17	303	1384
18	331	1414
19	372	1489
20	414	1560
21	442	1570
22	464	1556
23	482	1527
24	497	1493
25	515	1466
26	529	1431
27	538	1385
28	552	1353
29	567	1323
30	581	1294
31	596	1266
32	612	1244
33	629	1221
34	648	1204
35	664	1182
36	681	1160
37	698	1139
38	714	1117
39	728	1092
40	751	1081
41	772	1066
42	789	1046
43	806	1026
44	823	1006
45	840	986
46	857	966
47	870	943
48	885	921
49	899	899
50	914	878
51	932	861
52	949	842
53	968	825
54	986	806
55	1003	788
56	1017	767
57	1032	747
58	1056	734
59	1078	719
60	1098	702
61	1118	685
62	1135	667
63	1154	649
64	1181	636
65	1203	620
66	1228	605
67	1249	587
68	1270	570
69	1284	550
70	1298	530
71	1313	510
72	1327	491
73	1343	472
74	1359	453
75	1377	434
76	1394	416
77	1409	397
78	1425	378
79	1442	360
80	1459	342
81	1474	323
82	1489	305
83	1504	286
84	1518	268
85	1533	249
86	1548	231
87	1563	213
88	1579	195
89	1596	177
90	1612	159
91	1628	141
92	1647	123
93	1662	106
94	1678	88
95	1696	70
96	1713	53
97	1729	35
98	1746	17
99	1766	0
